author_name,coauthor_name
Philipp Sadowski,Adam L Alter
Florian Engl,A Ruina
Stephanie Schmitt-GrohÃ©,Agata Kliber
Arno Riedl,A Cox
Kevin Lang,ALOISIO P DE ARAUJO
Wendy Carlin,Ainhoa Aparicio Fenoll
John H. Pencavel,AH Kassam
Simeon Schudy,Adriana Montobbio
Andrew Sweeting,A Butrym
David S. Ahn,A Manquilef
Evan Riehl,A Rattan
Maureen O'Hara,Aaron Pacitti
Rasmus Lentz ,Adam Yavitz
Francesco Decarolis,A Sadrieh
Alexandre Corniere,A Banerjee
Francesco Squintani,A SakaviÄius
Helene Olivier,A Volk
Ma Lin,AR Prasad
Kenneth Gillingham,ALEXANDRE MAS
Benjamin Faber,A Espejel GarcÃ­a
Pia Pinger,Adam M Breandenburger
Arnaud Costinot,A Couffinhal
Franz Dietrich,A Saunders
Hendrik Hakenes,A Waterman
Benny Moldovanu,A Falk
Kaspar Wuthrich,AL Larsen
Warren Bailey,Ailsa RÃ¶ell
Manuel GarcÃ­a-Santana,ARIJIT MUKHERJEE
Billy Pizer,A Fiore
Alexel Parakhonyak,A Barnett
Jianqing Fan,AE Pusateri
George J. Mailath,A Singh
Bryan S. Graham,A Galal
Wasana Karunarathne,Aimee Chin
Markus Frolich,AT Moore
Olivier Marie,Abraham J Wyner
Rachel Ngai,Adam Rosen
Denis Tkachenko,A McBrearty
Leslie Martin,ANDREW SCHOTTER
Margarita Rubio,AS EDLIN
Christian Ewerhart,A Horne
Ariel Rubinstein,A Cole Burton
Antonin Mace,A Chessman
Dean Corbae,A Mason
Sigrid Suetens,Adriana M Valcu-Lisman
Gary Biglaiser,A Set
Daniel Sgroi,A Lanciki
Hiroaki Kaido,A Yates
Ufuk Akcigit,Ahmet Yusuf Mercan
Michelle P. Connolly,Abdelwahab Yezza
Matthew Notowidigdo,Aaron F Schiff
Francine Blau,A Salazar
Kevin Sheedy,ALVIN E Rorn
Konrad Menzel,AM Keessen
Gianluca Benigno,A Spelta
Kevin Staub,AM Butler
Matthias Dahm,Aaron JC Wijeratne
Reed Walker,Adama Bah
Nina Guyon,Abigail Barr
Juan Pablo Nicolini,AK Basu
Jessica Goldberg,AE Khan
Ernst-Ludwig von Thadden,A Rabushka
Jonathan Hill,AJ Glass
Jean-Jacques Herings,AC Glebbeek
Olivier Blanchard,Abra Marie Jeffers
Jake Bradley,AA Weber
Cecile Gaubert,A Greif
Roberta Dessi,Adina Claici
Mihalis Markakis,Abdolkarim Sadrieh
Simone Galperti,Adriano Rampini
Xavier Venel,Ajit Kumar Padhy
Volker Nocke,Ailiang Chen
Christoph SchottmÃ¼ller,A Jaffe
Clemens Fuest,A Kapteyn
Kevin Fergusson,ALLAN TIMMERMANN
Helena Perrone,A Vissing-Jorgensen
Nadia Campaniello,Abena Oduro
Matthias Wibral,Aaron M Kolb
Liana Jacobi,ANGELA CM DE OLIVEIRA
Bas van der Klaauw,A DomÃ­nguez
Luigi Pistaferri,AR Gallant
Kirill Pogorelskiy,AM Freeman
Sebastian Edwards,Adrian Longstaff
Arthur Campbell,A Crowe
Chen Chaoran,A Hamoudi
Sebastian Kube,Adrian M Hughes
Yonghong An,Akifumi Kuchiki
Albrecht Glitz,A Ardernâ€Jones
Simon JÃ¤ger,Adriana Vidal
Beneficte Apouey,A Eichberger
Dmitriy Sergeyev,A Miriam
Alan Moreira,A Amano
Suehyun Kwon,Agnes Brinkmann
Roel Beetsma,Aditya Sen
Jere R. Behrman,AD Ellerman
Rainer Winkelmann,Adam Samaha
Michael Wagner,Abdalla Turki
Camille Landais,A Gambhir
Leeat Yariv,ANDREW C PINDER
Dimitri Politis,A Melino
Ben Vollaard,A Edlin
Alessandro Gavazza,A Aslani
Murillo Campello,Abel Mateus
Parag Pathak,Achim Zeileis
John List,AHJ Helmsing
Dominik Sachs,A Moralejo
Anusha Chari,A ChÃ©ron
